,name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
0,Amilcare Ponchielli - Dance of the Hours.mp3,130.8139534883721,394,0.2923404461223548,0.042381830513477325,1637.2359740732716,2228.7129200458144,2925.815507229201,0.03880776972475705,164.36011487399398,-4.3823161545742115,4.918759170530092,4.767189977645391,3.79837865703646,-2.5312831955654937,-0.9079023892287424,-2.28756507769664,0.08356132233455572,-2.88862342927261,-3.455120869242052,Classical
1,Rossini - William Tell Overture - Final.mp3,160.71428571428572,443,0.3887416120276271,0.0578136257827282,1357.9840855466232,1875.9378306045826,2628.860882318085,0.028937637028916805,165.76018924811316,-11.258062749789897,22.16519014238607,5.195707612411226,9.989041544240315,-3.362945753134563,3.713701822101016,-3.9141517630764335,-1.4422586962214792,-3.1769126143173425,-2.7565099922228122,Classical
2,Jean Sibelius - Finlandia.mp3,139.6748310810811,364,0.3956995437475527,0.04465630277991295,1695.655814259019,2091.8464922511357,3243.3762210810523,0.043351085808501034,167.19916803458892,-18.22754120390074,9.633350356393935,2.7864267238175127,4.01049056619643,-8.536038154214507,0.3080728956180629,-8.201940253238769,-5.903670357261097,-3.534558361071084,-4.193663947642413,Classical
3,'POLOVETSIAN DANCE' Aleksandr Borodin [classical music].mp3,133.92857142857142,393,0.3362104458858877,0.038400422781705856,1335.8424574029707,1769.5293334033436,2363.629377518369,0.03413188940655368,179.70191016430798,-3.5449204622322075,4.215035154547165,4.091722839338337,0.5025343273409459,-6.3617568528350485,-2.0235110562988328,-7.8202674595354305,-7.4398309582584545,-6.337502158555348,-6.613282415884378,Classical
4,"Rachmaninoff - Piano Concerto No. 2, Op. 18 I. Moderato (Rubinstein).mp3",133.92857142857142,382,0.3799873836219821,0.0717618390917778,1141.0788979210727,1653.2404673976487,1969.4874562988862,0.025102013630673742,194.4393702587632,5.629840942892609,3.806076894216552,9.410234216969744,0.9515263588239908,-3.2743880358377835,-4.201816922563324,-5.369677828995893,-8.340698700507783,-4.1746202620013575,-6.146064746186325,Classical
5,Pyotr Ilyich Tchaikovsky _ Nina Kaptsova - Dance of the Sugar Plum Fairy _ 2010.mp3,95.33898305084746,285,0.3506216121997417,0.03508657217025757,1417.417283820384,1855.6639788685918,2277.762243718891,0.04002986165634629,180.2111429423805,5.323413441900128,-5.71898730864466,-3.2892690712578054,1.1170477519910302,-4.5912842819379165,1.7084047600714476,-4.140936073026085,-2.816949647867053,-0.8991517294786664,-0.5931203612602424,Classical
6,André Rieu - The Second Waltz (Shostakovich).mp3,95.703125,285,0.3464463649713068,0.06067769601941109,2290.523654592169,2640.1267051848317,4157.883191182517,0.06169986626435114,166.8853761947467,-48.1380721821329,15.492386875624911,-17.69538018453947,11.127410685095338,-12.052454908702972,7.223603254277762,-6.744351543087017,1.044743303613668,-6.8812717089522675,5.164148989358665,Classical
7,Mozart-The Marriage of Figaro.mp3,127.8409090909091,367,0.3176659934340939,0.04991438984870911,1450.2764980070135,1827.265390623366,2615.229745644703,0.03700327596327625,178.18754974137443,-15.577262013468216,8.346020741687482,1.2343259781584666,-1.398466231452705,-4.478873951377574,-3.9860967355619823,-0.8428843472918313,-4.142867028356517,-1.9973375765365156,-6.5620319220625065,Classical
8,Tchaikovsky Nutcracker Suite - Russian Dance Trepak.mp3,147.65625,168,0.3925823788483589,0.050780247896909714,2016.0749380734198,2098.2571094260834,3923.4178053574096,0.04880288668023603,168.9830874801545,-48.948344098011006,25.358956165073586,-13.938245034898607,6.45157245279032,-6.0486597589315725,-2.7926529419819603,-3.613664524253891,-6.929576912997423,-1.15678987220723,-9.309391783888623,Classical
9,Mozart 'Eine kleine Nachtmusik' I. Allegro.mp3,148.0263157894737,441,0.391308471055784,0.04435670003294945,1676.3101504441765,1980.8183826281713,3219.1092379710826,0.04214076087157798,164.45870506173972,-18.425078215448163,11.6362623564221,10.609822336013954,5.604865347819806,-2.1378563773615253,-1.8350815326311316,2.9486296370455736,-1.1190227077793171,3.7365510894857885,-3.628940254157703,Classical
10,Tchaikovsky - Swan Lake - Scene - Part 1_8.mp3,137.1951219512195,399,0.3297813318178327,0.0627991259098053,1559.3053492370825,1825.0297039007417,2884.405461157857,0.04481051007162538,187.82337624224687,-33.393499861655634,10.805638977024056,9.2379727837077,1.316348503790367,-10.241368123103909,-2.0102140061206835,-2.899849156533418,-7.481960331924009,-3.362974936927872,-5.847613604025997,Classical
11,Piotr Ilich Tchaikovsky - 1812 Overture (Finale).mp3,148.0263157894737,375,0.4010798724957785,0.07416222989559174,1650.2792101319405,1857.8630801641,3214.5289538397724,0.04189688064781346,161.79836009464995,-22.84104771337755,13.003805903740961,1.4684641181808284,-1.8031464794827623,-0.0576889635128699,-4.4954906507492405,2.1327065509915872,-6.807246076303103,-3.4211031870072843,-0.9161162564588952,Classical
